Solution,Type,Quarter,Before,During,After,Not_achieved_yet,Planned,Actual
PJ.10-02b,Communication,Q1-2017,0,0,0,0,0,0
PJ.10-02b,Communication,Q2-2017,0,0,0,0,0,0
PJ.10-02b,Communication,Q3-2017,0,0,0,0,0,0
PJ.10-02b,Communication,Q4-2017,0,0,0,0,0,0
PJ.10-02b,Communication,Q1-2018,0,0,0,0,0,0
PJ.10-02b,Communication,Q2-2018,0,0,0,0,0,0
PJ.10-02b,Communication,Q3-2018,0,0,0,0,0,0
PJ.10-02b,Communication,Q4-2018,0,0,0,0,0,0
PJ.10-02b,Communication,Q1-2019,0,0,0,0,0,0
PJ.10-02b,Communication,Q2-2019,0,0,0,1,1,0
PJ.10-02b,Communication,Q3-2019,0,0,0,0,0,0
PJ.10-02b,Communication,Q4-2019,0,0,0,1,1,0
PJ.10-02b,Reporting_Period,Q4-2016,0,0,0,0,0,0
PJ.10-02b,Reporting_Period,Q1-2017,0,0,0,0,0,0
PJ.10-02b,Reporting_Period,Q2-2017,0,0,0,0,0,0
PJ.10-02b,Reporting_Period,Q3-2017,0,0,0,0,0,0
PJ.10-02b,Reporting_Period,Q4-2017,0,0,0,0,0,0
PJ.10-02b,Reporting_Period,Q1-2018,0,0,0,0,0,0
PJ.10-02b,Reporting_Period,Q2-2018,0,0,0,0,0,0
PJ.10-02b,Reporting_Period,Q3-2018,0,0,0,0,0,0
PJ.10-02b,Reporting_Period,Q4-2018,0,0,0,0,0,0
PJ.10-02b,Reporting_Period,Q1-2019,0,0,0,0,0,0
PJ.10-02b,Reporting_Period,Q2-2019,0,0,0,1,1,0
PJ.10-02b,Reporting_Period,Q3-2019,0,0,0,0,0,0
PJ.10-02b,Reporting_Period,Q4-2019,0,0,0,1,1,0
PJ.10-02b,Review,Q4-2016,0,0,0,0,0,0
PJ.10-02b,Review,Q1-2017,0,0,0,0,0,0
PJ.10-02b,Review,Q2-2017,0,0,0,0,0,0
PJ.10-02b,Review,Q3-2017,0,0,0,0,0,0
PJ.10-02b,Review,Q4-2017,0,0,0,0,0,0
PJ.10-02b,Review,Q1-2018,0,0,0,0,0,0
PJ.10-02b,Review,Q2-2018,0,0,0,0,0,0
PJ.10-02b,Review,Q3-2018,0,0,0,0,0,0
PJ.10-02b,Review,Q4-2018,0,0,0,0,0,0
PJ.10-02b,Review,Q1-2019,0,0,0,0,0,0
PJ.10-02b,Review,Q2-2019,0,0,0,1,1,0
PJ.10-02b,Review,Q3-2019,0,0,0,0,0,0
PJ.10-02b,Review,Q4-2019,0,0,0,1,1,0
PJ.10-05,Deliverable,Q4-2016,0,0,0,0,0,0
PJ.10-05,Deliverable,Q1-2017,0,0,0,0,0,0
PJ.10-05,Deliverable,Q2-2017,0,0,0,0,0,0
PJ.10-05,Deliverable,Q3-2017,0,0,0,1,1,0
PJ.10-05,Deliverable,Q4-2017,0,0,0,2,2,0
PJ.10-05,Deliverable,Q1-2018,0,0,0,0,0,0
PJ.10-05,Deliverable,Q2-2018,0,0,0,2,2,0
PJ.10-05,Deliverable,Q3-2018,0,0,0,6,6,0
PJ.10-05,Deliverable,Q4-2018,0,0,0,3,3,0
PJ.10-05,Deliverable,Q1-2019,0,0,0,0,0,0
PJ.10-05,Deliverable,Q2-2019,0,0,0,1,1,0
PJ.10-05,Deliverable,Q3-2019,0,0,0,4,4,0
PJ.10-05,Deliverable,Q4-2019,0,0,0,0,0,0
PJ.10-05,Milestone,Q4-2016,0,0,0,0,0,0
PJ.10-05,Milestone,Q1-2017,0,0,0,0,0,0
PJ.10-05,Milestone,Q2-2017,0,0,0,0,0,0
PJ.10-05,Milestone,Q3-2017,0,0,0,2,2,0
PJ.10-05,Milestone,Q4-2017,0,0,0,0,0,0
PJ.10-05,Milestone,Q1-2018,0,0,0,0,0,0
PJ.10-05,Milestone,Q2-2018,0,0,0,0,0,0
PJ.10-05,Milestone,Q3-2018,0,0,0,3,3,0
PJ.10-05,Milestone,Q4-2018,0,0,0,1,1,0
PJ.10-05,Milestone,Q1-2019,0,0,0,0,0,0
PJ.10-05,Milestone,Q2-2019,0,0,0,1,1,0
PJ.10-05,Milestone,Q3-2019,0,0,0,1,1,0
PJ.10-05,Milestone,Q4-2019,0,0,0,0,0,0
PJ.10-05,Validation,Q4-2016,0,0,0,0,0,0
PJ.10-05,Validation,Q1-2017,0,0,0,0,0,0
PJ.10-05,Validation,Q2-2017,0,0,0,0,0,0
PJ.10-05,Validation,Q3-2017,0,0,0,1,1,0
PJ.10-05,Validation,Q4-2017,0,0,0,1,1,0
PJ.10-05,Validation,Q1-2018,0,0,0,4,4,0
PJ.10-05,Validation,Q2-2018,0,0,0,0,0,0
PJ.10-05,Validation,Q3-2018,0,0,0,0,0,0
PJ.10-05,Validation,Q4-2018,0,0,0,2,2,0
